"id","name","pokemonBase","tipo1","tipo2","ps","ataque","defensa","ataqueEsp","defensaEsp","velocidad","sprite","slug"
"arctozolt","Arctozolt","Arctozolt","Eléctrico","Hielo","90","100","90","90","80","55","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Arctozolt"
"ariados","Ariados","Ariados","Bicho","Veneno","70","90","70","60","70","40","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Ariados"
"armaldo","Armaldo","Armaldo","Roca","Bicho","75","125","100","70","80","45","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2e/latest/20251020124236/Tipo_pelea_LPZA.png/80px-Tipo_pelea_LPZA.png","Armaldo"
"armarouge","Armarouge","Armarouge","Fuego","Psíquico","85","60","100","125","80","75","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Armarouge"
"aromatisse","Aromatisse","Aromatisse","Hada",,"101","72","72","99","89","29","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Aromatisse"
"aron","Aron","Aron","Acero","Roca","50","70","100","40","40","30","https://images.wikidexcdn.net/mwuploads/wikidex/4/4a/latest/20260306153335/Tercera_generaci%C3%B3n.svg","Aron"
"arrokuda","Arrokuda","Arrokuda","Agua",,"41","63","40","40","30","66","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Arrokuda"
"articuno","Articuno","Articuno","Hielo","Volador","90","85","100","95","125","85","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Articuno"
"articuno-de-galar","Articuno de Galar","Articuno","Psíquico","Volador","90","85","85","125","100","95","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Articuno_de_Galar"
"audino","Audino","Audino","Normal",,"103","60","86","60","86","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Audino"
"Mega Audino","Mega Audino","Audino","Normal","Hada","103","60","126","80","126","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Audino"
"aurorus","Aurorus","Aurorus","Roca","Hielo","123","77","72","99","92","58","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Aurorus"
"avalugg","Avalugg","Avalugg","Hielo",,"95","117","184","44","46","28","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Avalugg"
"avalugg-de-hisui","Avalugg de Hisui","Avalugg","Hielo","Roca","95","127","184","34","36","38","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Avalugg_de_Hisui"
"axew","Axew","Axew","Dragón",,"46","87","60","30","40","57","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2e/latest/20251020124236/Tipo_pelea_LPZA.png/80px-Tipo_pelea_LPZA.png","Axew"
"azelf","Azelf","Azelf","Psíquico",,"75","125","70","125","70","115","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Azelf"
"azumarill","Azumarill","Azumarill","Agua","Hada","100","50","80","60","80","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Azumarill"
"azurill","Azurill","Azurill","Normal","Hada","50","20","40","20","40","20","https://images.wikidexcdn.net/mwuploads/wikidex/4/4a/latest/20260306153335/Tercera_generaci%C3%B3n.svg","Azurill"
"bagon","Bagon","Bagon","Dragón",,"45","75","60","40","30","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3b/latest/20251020084947/Tipo_drag%C3%B3n_LPZA.png/80px-Tipo_drag%C3%B3n_LPZA.png","Bagon"
"baltoy","Baltoy","Baltoy","Tierra","Psíquico","40","40","55","40","70","55","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Baltoy"
"banette","Banette","Banette","Fantasma",,"64","115","65","83","63","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Banette"
"Mega-Banette","Mega-Banette","Banette","Fantasma",,"64","165","75","93","83","75","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Banette"
"barbaracle","Barbaracle","Barbaracle","Roca","Agua","72","105","115","54","86","68","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Barbaracle"
"barboach","Barboach","Barboach","Agua","Tierra","50","48","43","46","41","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c6/latest/20251020084932/Tipo_el%C3%A9ctrico_LPZA.png/80px-Tipo_el%C3%A9ctrico_LPZA.png","Barboach"
"barraskewda","Barraskewda","Barraskewda","Agua",,"61","123","60","60","50","136","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Barraskewda"
"basculegion-hembra","Basculegion hembra","Basculegion","Agua","Fantasma","120","92","65","100","75","78","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Basculegion"
"basculegion-macho","Basculegion macho","Basculegion","Agua","Fantasma","120","112","65","80","75","78","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Basculegion"
"basculin","Basculin","Basculin","Agua",,"70","92","65","80","55","98","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Basculin"
"bastiodon","Bastiodon","Bastiodon","Roca","Acero","60","52","168","47","138","30","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Bastiodon"
"baxcalibur","Baxcalibur","Baxcalibur","Dragón","Hielo","115","145","92","75","86","87","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3b/latest/20251020084947/Tipo_drag%C3%B3n_LPZA.png/75px-Tipo_drag%C3%B3n_LPZA.png","Baxcalibur"
"Mega-Baxcalibur","Mega-Baxcalibur","Baxcalibur","Dragón","Hielo","115","175","117","105","101","87","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3b/latest/20251020084947/Tipo_drag%C3%B3n_LPZA.png/75px-Tipo_drag%C3%B3n_LPZA.png","Baxcalibur"
"bayleef","Bayleef","Bayleef","Planta",,"60","62","80","63","80","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2e/latest/20251020124236/Tipo_pelea_LPZA.png/80px-Tipo_pelea_LPZA.png","Bayleef"
"beartic","Beartic","Beartic","Hielo",,"95","130","80","70","80","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Beartic"
"beautifly","Beautifly","Beautifly","Bicho","Volador","60","70","50","100","50","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Beautifly"
"beedrill","Beedrill","Beedrill","Bicho","Veneno","65","90","40","45","80","75","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Beedrill"
"beheeyem","Beheeyem","Beheeyem","Psíquico",,"75","75","75","125","95","40","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Beheeyem"
"beldum","Beldum","Beldum","Acero","Psíquico","40","55","80","35","60","30","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b9/latest/20200214185845/Beldum_HOME_variocolor.png/100px-Beldum_HOME_variocolor.png","Beldum"
"bellibolt","Bellibolt","Bellibolt","Eléctrico",,"109","64","91","103","83","45","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Bellibolt"
"bellossom","Bellossom","Bellossom","Planta",,"75","80","95","90","100","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Bellossom"
"bellsprout","Bellsprout","Bellsprout","Planta","Veneno","50","75","35","70","30","40","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Bellsprout"
"bergmite","Bergmite","Bergmite","Hielo",,"55","69","85","32","35","28","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Bergmite"
"bewear","Bewear","Bewear","Normal","Lucha","120","125","80","55","60","60","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Bewear"
"bibarel","Bibarel","Bibarel","Normal","Agua","79","85","60","55","60","71","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/97/latest/20251020084923/Tipo_agua_LPZA.png/80px-Tipo_agua_LPZA.png","Bibarel"
"bidoof","Bidoof","Bidoof","Normal",,"59","45","40","35","40","31","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/97/latest/20251020084923/Tipo_agua_LPZA.png/80px-Tipo_agua_LPZA.png","Bidoof"
"binacle","Binacle","Binacle","Roca","Agua","42","52","67","39","56","50","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Binacle"
"bisharp","Bisharp","Bisharp","Siniestro","Acero","65","125","100","60","70","70","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Bisharp"
"blacephalon","Blacephalon","Blacephalon","Fuego","Fantasma","53","127","53","151","79","107","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Blacephalon"
"blastoise","Blastoise","Blastoise","Agua",,"79","83","100","85","105","78","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Blastoise"
"blaziken","Blaziken","Blaziken","Fuego","Lucha","80","120","70","110","70","80","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Blaziken"
"blipbug","Blipbug","Blipbug","Bicho",,"25","20","20","25","45","45","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Blipbug"
"blissey","Blissey","Blissey","Normal",,"255","10","10","75","135","55","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Blissey"
"blitzle","Blitzle","Blitzle","Eléctrico",,"45","60","32","50","32","76","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Blitzle"
"boldore","Boldore","Boldore","Roca",,"70","105","105","50","40","20","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/46/latest/20251020084914/Tipo_acero_LPZA.png/80px-Tipo_acero_LPZA.png","Boldore"
"boltund","Boltund","Boltund","Eléctrico",,"69","90","60","90","60","121","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Boltund"
"bombirdier","Bombirdier","Bombirdier","Volador","Siniestro","70","103","85","60","85","82","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Bombirdier"
"bonsly","Bonsly","Bonsly","Roca",,"50","80","95","10","45","10","https://images.wikidexcdn.net/mwuploads/wikidex/5/5a/latest/20260306180611/Cuarta_generaci%C3%B3n.svg","Bonsly"
"bouffalant","Bouffalant","Bouffalant","Normal",,"95","110","95","40","95","55","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Bouffalant"
"bounsweet","Bounsweet","Bounsweet","Planta",,"42","30","38","30","38","32","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Bounsweet"
"braixen","Braixen","Braixen","Fuego",,"59","59","58","90","70","73","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Braixen"
"bramaluna","Bramaluna","Bramaluna","Dragón","Siniestro","105","139","71","55","101","119","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Bramaluna"
"brambleghast","Brambleghast","Brambleghast","Planta","Fantasma","55","115","70","80","70","90","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Brambleghast"
"bramblin","Bramblin","Bramblin","Planta","Fantasma","40","65","30","45","35","60","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Bramblin"
"braviary","Braviary","Braviary","Normal","Volador","100","123","75","57","75","80","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Braviary"
"braviary-de-hisui","Braviary de Hisui","Braviary","Psíquico","Volador","110","83","70","112","70","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4c/latest/20251020084900/Tipo_roca_LPZA.png/80px-Tipo_roca_LPZA.png","Braviary_de_Hisui"
"breloom","Breloom","Breloom","Planta","Lucha","60","130","80","60","60","70","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2e/latest/20251020124236/Tipo_pelea_LPZA.png/80px-Tipo_pelea_LPZA.png","Breloom"
"brionne","Brionne","Brionne","Agua",,"60","69","69","91","81","50","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Brionne"
"bronzong","Bronzong","Bronzong","Acero","Psíquico","67","89","116","79","116","33","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/46/latest/20251020084914/Tipo_acero_LPZA.png/80px-Tipo_acero_LPZA.png","Bronzong"
"bronzor","Bronzor","Bronzor","Acero","Psíquico","57","24","86","24","86","23","https://images.wikidexcdn.net/mwuploads/wikidex/5/5a/latest/20260306180611/Cuarta_generaci%C3%B3n.svg","Bronzor"
"bruxish","Bruxish","Bruxish","Agua","Psíquico","68","105","70","70","70","92","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Bruxish"
"budew","Budew","Budew","Planta","Veneno","40","30","35","50","70","55","https://images.wikidexcdn.net/mwuploads/wikidex/5/5a/latest/20260306180611/Cuarta_generaci%C3%B3n.svg","Budew"
"buizel","Buizel","Buizel","Agua",,"55","65","35","60","30","85","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Buizel"
"bulbasaur","Bulbasaur","Bulbasaur","Planta","Veneno","45","49","49","65","65","45","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4c/latest/20251020084900/Tipo_roca_LPZA.png/80px-Tipo_roca_LPZA.png","Bulbasaur"
"buneary","Buneary","Buneary","Normal",,"55","66","44","44","56","85","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Buneary"
"bunnelby","Bunnelby","Bunnelby","Normal",,"38","36","38","32","36","57","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Bunnelby"
"burmy","Burmy","Burmy","Bicho",,"40","29","45","29","45","36","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Burmy"
"butterfree","Butterfree","Butterfree","Bicho","Volador","60","45","50","90","80","70","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Butterfree"
"buzzwole","Buzzwole","Buzzwole","Bicho","Lucha","107","139","139","53","53","79","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Buzzwole"
"cacnea","Cacnea","Cacnea","Planta",,"50","85","40","85","40","35","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c6/latest/20251020084932/Tipo_el%C3%A9ctrico_LPZA.png/80px-Tipo_el%C3%A9ctrico_LPZA.png","Cacnea"
"cacturne","Cacturne","Cacturne","Planta","Siniestro","70","115","60","115","60","55","https://images.wikidexcdn.net/mwuploads/wikidex/4/4a/latest/20260306153335/Tercera_generaci%C3%B3n.svg","Cacturne"
"calyrex","Calyrex","Calyrex","Psíquico","Planta","100","80","80","80","80","80","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Calyrex"
"calyrex-jinete-espectral","Calyrex jinete espectral","Calyrex","Psíquico","Planta","100","85","80","165","100","150","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2e/latest/20240117214908/Calyrex.png/200px-Calyrex.png","Calyrex"
"calyrex-jinete-glacial","Calyrex jinete glacial","Calyrex","Psíquico","Planta","100","165","150","85","130","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Calyrex"
